Original,Obfuscated
-2*(-1),-(~x&y)-2*(x&~y)-(~x|y)-(x^~y)
-2*(-1),-(~x&y)-2*(x&~y)-(~x|y)-(~(x^y))
-2*(-1),-(~x&y)+(x&~y)-2*(x|~y)-(x^y)
-2*(-1),-2*(~x&y)-(x&~y)-(x|~y)-(~x^y)
-2*(-1),-2*(~x&y)-(x&~y)-(x|~y)-(x^~y)
-2*(-1),-2*(~x&y)-(x&~y)-(x|~y)-(~(x^y))
-(-1),(~x&y)+(x&~y)-2*(x^y)-(~x^y)
-(-1),(~x&y)+(x&~y)-2*(x^y)-(x^~y)
-(-1),(~x&y)+(x&~y)-2*(x^y)-(~(x^y))
-2*(-1),-2*(~x&y)-2*(x&~y)-(~x^y)-(x^~y)
-2*(-1),-2*(~x&y)-2*(x&~y)-(~x^y)-(~(x^y))
-2*(-1),-2*(~x&y)-2*(x&~y)-(x^~y)-(~(x^y))
-2*(-1),(~x&y)-(~(x&y))-(x|y)-(~x|y)
(-1),-(~x&y)+(~(x&y))+(~x|y)-(~(x|y))
-2*(-1),-(~x&y)-(x|y)-(x|~y)-(~(x|y))
-3*(-1),-(~x&y)-(~x|y)-2*(x|~y)-(x^y)
-(-1),-2*(~x&y)+(~x|y)-(x|~y)-(~x^y)
-(-1),-2*(~x&y)+(~x|y)-(x|~y)-(x^~y)
-(-1),-2*(~x&y)+(~x|y)-(x|~y)-(~(x^y))
-2*(-1),(~x&y)-(~x|y)-2*(x^y)-(~x^y)
-2*(-1),(~x&y)-(~x|y)-2*(x^y)-(x^~y)
-2*(-1),(~x&y)-(~x|y)-2*(x^y)-(~(x^y))
-2*(-1),-(~x&y)-(x|~y)-(x^y)-(~x^y)
-2*(-1),-(~x&y)-(x|~y)-(x^y)-(x^~y)
-2*(-1),-(~x&y)-(x|~y)-(x^y)-(~(x^y))
-(-1),-(~x&y)-(x|~y)+(~x^y)-(x^~y)
-(-1),-(~x&y)-(x|~y)+(~x^y)-(~(x^y))
-(-1),-(~x&y)-(x|~y)+(x^~y)-(~(x^y))
-2*(-1),(x&~y)-(~(x&y))-(x|y)-(x|~y)
(-1),-(x&~y)+(~(x&y))+(x|~y)-(~(x|y))
-2*(-1),-(x&~y)-(x|y)-(~x|y)-(~(x|y))
-3*(-1),-(x&~y)-2*(~x|y)-(x|~y)-(x^y)
-(-1),-2*(x&~y)-(~x|y)+(x|~y)-(~x^y)
-(-1),-2*(x&~y)-(~x|y)+(x|~y)-(x^~y)
-(-1),-2*(x&~y)-(~x|y)+(x|~y)-(~(x^y))
-2*(-1),-(x&~y)-(~x|y)-(x^y)-(~x^y)
-2*(-1),-(x&~y)-(~x|y)-(x^y)-(x^~y)
-2*(-1),-(x&~y)-(~x|y)-(x^y)-(~(x^y))
-(-1),-(x&~y)-(~x|y)+(~x^y)-(x^~y)
-(-1),-(x&~y)-(~x|y)+(~x^y)-(~(x^y))
-(-1),-(x&~y)-(~x|y)+(x^~y)-(~(x^y))
-2*(-1),(x&~y)-(x|~y)-2*(x^y)-(~x^y)
-2*(-1),(x&~y)-(x|~y)-2*(x^y)-(x^~y)
-2*(-1),(x&~y)-(x|~y)-2*(x^y)-(~(x^y))
-3*(-1),-(~(x&y))-(x|y)-(~x|y)-(x|~y)
-(-1),(~(x&y))-(x|y)-2*(~(x|y))-(x^y)
-3*(-1),-(~(x&y))-2*(x|y)-(~(x|y))-(~x^y)
-3*(-1),-(~(x&y))-2*(x|y)-(~(x|y))-(x^~y)
-3*(-1),-(~(x&y))-2*(x|y)-(~(x|y))-(~(x^y))
(-1),2*(~(x&y))+2*(x|y)-3*(x^y)-(~x^y)
(-1),2*(~(x&y))+2*(x|y)-3*(x^y)-(x^~y)
(-1),2*(~(x&y))+2*(x|y)-3*(x^y)-(~(x^y))
-4*(-1),-2*(~(x&y))-2*(x|y)-(~x^y)-(x^~y)
-4*(-1),-2*(~(x&y))-2*(x|y)-(~x^y)-(~(x^y))
-4*(-1),-2*(~(x&y))-2*(x|y)-(x^~y)-(~(x^y))
2*(-1),(~(x&y))+(~x|y)+(x|~y)-(~(x|y))
-(-1),(~(x&y))-(~(x|y))-2*(x^y)-(~x^y)
-(-1),(~(x&y))-(~(x|y))-2*(x^y)-(x^~y)
-(-1),(~(x&y))-(~(x|y))-2*(x^y)-(~(x^y))
-2*(-1),-2*(~(x&y))+2*(~(x|y))-(~x^y)-(x^~y)
-2*(-1),-2*(~(x&y))+2*(~(x|y))-(~x^y)-(~(x^y))
-2*(-1),-2*(~(x&y))+2*(~(x|y))-(x^~y)-(~(x^y))
-2*(-1),-(x|y)-(~(x|y))-(x^y)-(~x^y)
-2*(-1),-(x|y)-(~(x|y))-(x^y)-(x^~y)
-2*(-1),-(x|y)-(~(x|y))-(x^y)-(~(x^y))
-(-1),-(x|y)-(~(x|y))+(~x^y)-(x^~y)
-(-1),-(x|y)-(~(x|y))+(~x^y)-(~(x^y))
-(-1),-(x|y)-(~(x|y))+(x^~y)-(~(x^y))
-3*(-1),-(~x|y)-(x|~y)-2*(x^y)-(~x^y)
-3*(-1),-(~x|y)-(x|~y)-2*(x^y)-(x^~y)
-3*(-1),-(~x|y)-(x|~y)-2*(x^y)-(~(x^y))
2*(-1),2*(~x|y)+2*(x|~y)-(~x^y)-(x^~y)
2*(-1),2*(~x|y)+2*(x|~y)-(~x^y)-(~(x^y))
2*(-1),2*(~x|y)+2*(x|~y)-(x^~y)-(~(x^y))
-3*(-1),-3*(x^y)-(~x^y)-(x^~y)-(~(x^y))
~x,(~y)+(x&y)+2*(~x&y)-(x|y)
-(~x),-(~y)+(x&y)+2*(x&~y)-(x|y)
~x,-(~y)+(x&y)+2*(~(x&y))-(x|y)
-(~x),(~y)+(x&y)-(~(x&y))-(~x^y)
-(~x),(~y)+(x&y)-(~(x&y))-(x^~y)
-(~x),(~y)+(x&y)-(~(x&y))-(~(x^y))
-(~x),(~y)+(x&y)-(x|y)-2*(~(x|y))
-(~x),(~y)+3*(x&y)-(x|y)-2*(~x^y)
-(~x),(~y)+3*(x&y)-(x|y)-2*(x^~y)
-(~x),(~y)+3*(x&y)-(x|y)-2*(~(x^y))
-(~x),(~y)+2*(x&y)-(~x|y)-(x|~y)
-(~x),(~y)+2*(x&y)-(x^y)-2*(~x^y)
-(~x),(~y)+2*(x&y)-(x^y)-2*(x^~y)
-(~x),(~y)+2*(x&y)-(x^y)-2*(~(x^y))
~x,2*(~y)+2*(~x&y)-(x&~y)-(~(x&y))
~x,2*(~y)+(~x&y)-2*(x&~y)-(~(x|y))
2*(~x),2*(~y)+3*(~x&y)-(x&~y)-(x^y)
-(~x),2*(~y)+(~x&y)-2*(~(x&y))-(~(x|y))
~x,2*(~y)+3*(~x&y)-(~(x&y))-(x^y)
-2*(~x),-(~y)-2*(~x&y)+(x|y)-(~x|y)
-2*(~x),-(~y)-3*(~x&y)+(x|y)-(~x^y)
-2*(~x),-(~y)-3*(~x&y)+(x|y)-(x^~y)
-2*(~x),-(~y)-3*(~x&y)+(x|y)-(~(x^y))
-(~x),-(~y)-(~x&y)+(x|~y)-(~x^y)
-(~x),-(~y)-(~x&y)+(x|~y)-(x^~y)
-(~x),-(~y)-(~x&y)+(x|~y)-(~(x^y))
-2*(~x),(~y)-(~x&y)-3*(~(x|y))-(x^y)
-2*(~x),(~y)+(x&~y)-2*(~(x&y))-(~(x|y))
-2*(~x),-(~y)+3*(x&~y)-(~(x&y))-(x^y)
~x,2*(~y)-2*(x&~y)+(x|y)-(x|~y)
~x,2*(~y)-3*(x&~y)+(x|y)-(~x^y)
~x,2*(~y)-3*(x&~y)+(x|y)-(x^~y)
~x,2*(~y)-3*(x&~y)+(x|y)-(~(x^y))
~x,(~y)-(x&~y)+(~x|y)-(~x^y)
~x,(~y)-(x&~y)+(~x|y)-(x^~y)
~x,(~y)-(x&~y)+(~x|y)-(~(x^y))
-(~x),2*(~y)-(x&~y)-3*(~(x|y))-(x^y)
-2*(~x),(~y)-2*(~(x&y))+(x|y)-(~x|y)
-(~x),2*(~y)-2*(~(x&y))+(x|y)-(x|~y)
-2*(~x),2*(~y)-3*(~(x&y))+(x|y)-(~x^y)
-2*(~x),2*(~y)-3*(~(x&y))+(x|y)-(x^~y)
-2*(~x),2*(~y)-3*(~(x&y))+(x|y)-(~(x^y))
-2*(~x),2*(~y)-(~(x&y))-3*(~(x|y))-(x^y)
2*(~x),(~y)-(x|y)+3*(~x|y)-2*(~x^y)
2*(~x),(~y)-(x|y)+3*(~x|y)-2*(x^~y)
2*(~x),(~y)-(x|y)+3*(~x|y)-2*(~(x^y))
-(~x),-2*(~y)-(x|y)+3*(x|~y)-2*(~x^y)
-(~x),-2*(~y)-(x|y)+3*(x|~y)-2*(x^~y)
-(~x),-2*(~y)-(x|y)+3*(x|~y)-2*(~(x^y))
~x,-(~y)+(x|y)+3*(~(x|y))-(~x^y)
~x,-(~y)+(x|y)+3*(~(x|y))-(x^~y)
~x,-(~y)+(x|y)+3*(~(x|y))-(~(x^y))
-(~x),(~y)+2*(x|y)-3*(x^y)-2*(~x^y)
-(~x),(~y)+2*(x|y)-3*(x^y)-2*(x^~y)
-(~x),(~y)+2*(x|y)-3*(x^y)-2*(~(x^y))
~x,(~y)+2*(~x|y)-(x^y)-2*(~x^y)
~x,(~y)+2*(~x|y)-(x^y)-2*(x^~y)
~x,(~y)+2*(~x|y)-(x^y)-2*(~(x^y))
-(~x),-(~y)+2*(x|~y)-(x^y)-2*(~x^y)
-(~x),-(~y)+2*(x|~y)-(x^y)-2*(x^~y)
-(~x),-(~y)+2*(x|~y)-(x^y)-2*(~(x^y))
-(~x),(x&y)-(~x&y)+(x&~y)-(x|~y)
~x,(x&y)+(~x&y)+(~(x&y))-(x|y)
-2*(~x),(x&y)-(~x&y)-(~x|y)-(~(x|y))
-2*(~x),2*(x&y)-(~x&y)-(~x|y)-(~x^y)
-2*(~x),2*(x&y)-(~x&y)-(~x|y)-(x^~y)
-2*(~x),2*(x&y)-(~x&y)-(~x|y)-(~(x^y))
~x,-(x&y)+2*(~x&y)+(x|~y)-(x^y)
-2*(~x),(x&y)-2*(~x&y)-(~(x|y))-(~x^y)
-2*(~x),(x&y)-2*(~x&y)-(~(x|y))-(x^~y)
-2*(~x),(x&y)-2*(~x&y)-(~(x|y))-(~(x^y))
-2*(~x),2*(x&y)-2*(~x&y)-(~x^y)-(x^~y)
-2*(~x),2*(x&y)-2*(~x&y)-(~x^y)-(~(x^y))
-2*(~x),2*(x&y)-2*(~x&y)-(x^~y)-(~(x^y))
-2*(~x),(x&y)+(x&~y)-(~(x&y))-(~x|y)
-(~x),2*(x&y)+2*(x&~y)-(x|y)-(x|~y)
-(~x),(x&y)+(x&~y)-(x|y)-(~(x|y))
-(~x),2*(x&y)+(x&~y)-(x|y)-(~x^y)
-(~x),2*(x&y)+(x&~y)-(x|y)-(x^~y)
-(~x),2*(x&y)+(x&~y)-(x|y)-(~(x^y))
-(~x),(x&y)+2*(x&~y)-(x|~y)-(x^y)
-(~x),(x&y)+(x&~y)-(x^y)-(~x^y)
-(~x),(x&y)+(x&~y)-(x^y)-(x^~y)
-(~x),(x&y)+(x&~y)-(x^y)-(~(x^y))
~x,2*(x&y)+2*(~(x&y))-(x|y)-(x|~y)
-(~x),-(x&y)-(~(x&y))+(x|~y)-(~(x|y))
~x,(x&y)+2*(~(x&y))-(x|~y)-(x^y)
-2*(~x),(x&y)+(x|y)-2*(~x|y)-(x^y)
-(~x),2*(x&y)-(x|y)+(x|~y)-2*(~x^y)
-(~x),2*(x&y)-(x|y)+(x|~y)-2*(x^~y)
-(~x),2*(x&y)-(x|y)+(x|~y)-2*(~(x^y))
-(~x),2*(x&y)-(~x|y)+(~(x|y))-(~x^y)
-(~x),2*(x&y)-(~x|y)+(~(x|y))-(x^~y)
-(~x),2*(x&y)-(~x|y)+(~(x|y))-(~(x^y))
-(~x),(x&y)-(~x|y)+(~x^y)-(x^~y)
-(~x),(x&y)-(~x|y)+(~x^y)-(~(x^y))
-(~x),(x&y)-(~x|y)+(x^~y)-(~(x^y))
-(~x),-(x&y)+(x|~y)-2*(~(x|y))-(x^y)
-(~x),(x&y)+(x|~y)-(x^y)-2*(~x^y)
-(~x),(x&y)+(x|~y)-(x^y)-2*(x^~y)
-(~x),(x&y)+(x|~y)-(x^y)-2*(~(x^y))
-2*(~x),-(~x&y)+(x&~y)-(~(x&y))-(~(x|y))
-(~x),(~x&y)+2*(x&~y)-(~(x&y))-(x^y)
-(~x),-(~x&y)-(x&~y)+(x|y)-(~x|y)
-(~x),-2*(~x&y)-(x&~y)+(x|y)-(~x^y)
-(~x),-2*(~x&y)-(x&~y)+(x|y)-(x^~y)
-(~x),-2*(~x&y)-(x&~y)+(x|y)-(~(x^y))
-2*(~x),-(~x&y)+(x&~y)-2*(~(x|y))-(x^y)
-2*(~x),-(~x&y)-(~(x&y))+(x|y)-(~x|y)
-2*(~x),-2*(~x&y)-(~(x&y))+(x|y)-(~x^y)
-2*(~x),-2*(~x&y)-(~(x&y))+(x|y)-(x^~y)
-2*(~x),-2*(~x&y)-(~(x&y))+(x|y)-(~(x^y))
~x,-(~x&y)+(~(x&y))+(~x|y)-(x|~y)
-(~x),-(~x&y)+(~(x&y))-2*(~(x|y))-(x^y)
-2*(~x),-3*(~x&y)+(x|y)-(x|~y)-(~(x|y))
-(~x),-(~x&y)+(x|y)-(x^y)-(~x^y)
-(~x),-(~x&y)+(x|y)-(x^y)-(x^~y)
-(~x),-(~x&y)+(x|y)-(x^y)-(~(x^y))
-(~x),-2*(~x&y)+(~x|y)-(~(x|y))-(~x^y)
-(~x),-2*(~x&y)+(~x|y)-(~(x|y))-(x^~y)
-(~x),-2*(~x&y)+(~x|y)-(~(x|y))-(~(x^y))
-(~x),-(~x&y)-(~(x|y))+(~x^y)-(x^~y)
-(~x),-(~x&y)-(~(x|y))+(~x^y)-(~(x^y))
-(~x),-(~x&y)-(~(x|y))+(x^~y)-(~(x^y))
-2*(~x),(x&~y)-2*(~(x&y))+(x|~y)-(~x^y)
-2*(~x),(x&~y)-2*(~(x&y))+(x|~y)-(x^~y)
-2*(~x),(x&~y)-2*(~(x&y))+(x|~y)-(~(x^y))
-2*(~x),2*(x&~y)-(~(x&y))-(~(x|y))-(x^y)
-(~x),(x&~y)-(~(x&y))+(~x^y)-(x^~y)
-(~x),(x&~y)-(~(x&y))+(~x^y)-(~(x^y))
-(~x),(x&~y)-(~(x&y))+(x^~y)-(~(x^y))
~x,2*(x&~y)-(x|y)+2*(~x|y)-(x|~y)
~x,(x&~y)-(x|y)+2*(~x|y)-(~x^y)
~x,(x&~y)-(x|y)+2*(~x|y)-(x^~y)
~x,(x&~y)-(x|y)+2*(~x|y)-(~(x^y))
-(~x),2*(x&~y)+(x|y)-(x|~y)-2*(x^y)
~x,-(x&~y)+(x|y)+2*(~(x|y))-(~x^y)
~x,-(x&~y)+(x|y)+2*(~(x|y))-(x^~y)
~x,-(x&~y)+(x|y)+2*(~(x|y))-(~(x^y))
-(~x),(x&~y)+(x|y)-2*(x^y)-(~x^y)
-(~x),(x&~y)+(x|y)-2*(x^y)-(x^~y)
-(~x),(x&~y)+(x|y)-2*(x^y)-(~(x^y))
-(~x),-(x&~y)-(~x|y)+(x|~y)-(~(x|y))
3*(~x),2*(~(x&y))-(x|y)+2*(~x|y)-(x|~y)
~x,(~(x&y))-(x|y)+(~x|y)-(~(x|y))
2*(~x),(~(x&y))-(x|y)+2*(~x|y)-(~x^y)
2*(~x),(~(x&y))-(x|y)+2*(~x|y)-(x^~y)
2*(~x),(~(x&y))-(x|y)+2*(~x|y)-(~(x^y))
~x,2*(~(x&y))+(x|y)-(x|~y)-2*(x^y)
-2*(~x),-(~(x&y))-(~x|y)+(x|~y)-(~(x|y))
2*(~x),2*(~(x&y))+(~x|y)-(x|~y)-(x^y)
~x,(~(x&y))+(~x|y)-(x^y)-(~x^y)
~x,(~(x&y))+(~x|y)-(x^y)-(x^~y)
~x,(~(x&y))+(~x|y)-(x^y)-(~(x^y))
-2*(~x),-2*(~(x&y))+2*(x|~y)-(~x^y)-(x^~y)
-2*(~x),-2*(~(x&y))+2*(x|~y)-(~x^y)-(~(x^y))
-2*(~x),-2*(~(x&y))+2*(x|~y)-(x^~y)-(~(x^y))
~x,-(x|y)+2*(~x|y)+(x|~y)-2*(~x^y)
~x,-(x|y)+2*(~x|y)+(x|~y)-2*(x^~y)
~x,-(x|y)+2*(~x|y)+(x|~y)-2*(~(x^y))
-(~x),(x|y)+(x|~y)-2*(x^y)-2*(~x^y)
-(~x),(x|y)+(x|~y)-2*(x^y)-2*(x^~y)
-(~x),(x|y)+(x|~y)-2*(x^y)-2*(~(x^y))
-2*(~x),-(~x|y)+(x|~y)-2*(~(x|y))-(x^y)
2*(~x),2*(~x|y)+2*(~(x|y))-(~x^y)-(x^~y)
2*(~x),2*(~x|y)+2*(~(x|y))-(~x^y)-(~(x^y))
2*(~x),2*(~x|y)+2*(~(x|y))-(x^~y)-(~(x^y))
-(~x),(x|~y)-(~(x|y))-(x^y)-(~x^y)
-(~x),(x|~y)-(~(x|y))-(x^y)-(x^~y)
-(~x),(x|~y)-(~(x|y))-(x^y)-(~(x^y))
-(~y),(x&y)+(~x&y)-(x&~y)-(~x|y)
-2*(~y),(x&y)+(~x&y)-(~(x&y))-(x|~y)
-(~y),2*(x&y)+2*(~x&y)-(x|y)-(~x|y)
-(~y),(x&y)+(~x&y)-(x|y)-(~(x|y))
-(~y),2*(x&y)+(~x&y)-(x|y)-(~x^y)
-(~y),2*(x&y)+(~x&y)-(x|y)-(x^~y)
-(~y),2*(x&y)+(~x&y)-(x|y)-(~(x^y))
-(~y),(x&y)+2*(~x&y)-(~x|y)-(x^y)
-(~y),(x&y)+(~x&y)-(x^y)-(~x^y)
-(~y),(x&y)+(~x&y)-(x^y)-(x^~y)
-(~y),(x&y)+(~x&y)-(x^y)-(~(x^y))
~y,(x&y)+(x&~y)+(~(x&y))-(x|y)
~y,-(x&y)+2*(x&~y)+(~x|y)-(x^y)
-2*(~y),(x&y)-(x&~y)-(x|~y)-(~(x|y))
-2*(~y),2*(x&y)-(x&~y)-(x|~y)-(~x^y)
-2*(~y),2*(x&y)-(x&~y)-(x|~y)-(x^~y)
-2*(~y),2*(x&y)-(x&~y)-(x|~y)-(~(x^y))
-2*(~y),(x&y)-2*(x&~y)-(~(x|y))-(~x^y)
-2*(~y),(x&y)-2*(x&~y)-(~(x|y))-(x^~y)
-2*(~y),(x&y)-2*(x&~y)-(~(x|y))-(~(x^y))
-2*(~y),2*(x&y)-2*(x&~y)-(~x^y)-(x^~y)
-2*(~y),2*(x&y)-2*(x&~y)-(~x^y)-(~(x^y))
-2*(~y),2*(x&y)-2*(x&~y)-(x^~y)-(~(x^y))
~y,2*(x&y)+2*(~(x&y))-(x|y)-(~x|y)
-(~y),-(x&y)-(~(x&y))+(~x|y)-(~(x|y))
~y,(x&y)+2*(~(x&y))-(~x|y)-(x^y)
-(~y),2*(x&y)-(x|y)+(~x|y)-2*(~x^y)
-(~y),2*(x&y)-(x|y)+(~x|y)-2*(x^~y)
-(~y),2*(x&y)-(x|y)+(~x|y)-2*(~(x^y))
-2*(~y),(x&y)+(x|y)-2*(x|~y)-(x^y)
-(~y),-(x&y)+(~x|y)-2*(~(x|y))-(x^y)
-(~y),(x&y)+(~x|y)-(x^y)-2*(~x^y)
-(~y),(x&y)+(~x|y)-(x^y)-2*(x^~y)
-(~y),(x&y)+(~x|y)-(x^y)-2*(~(x^y))
-(~y),2*(x&y)-(x|~y)+(~(x|y))-(~x^y)
-(~y),2*(x&y)-(x|~y)+(~(x|y))-(x^~y)
-(~y),2*(x&y)-(x|~y)+(~(x|y))-(~(x^y))
-(~y),(x&y)-(x|~y)+(~x^y)-(x^~y)
-(~y),(x&y)-(x|~y)+(~x^y)-(~(x^y))
-(~y),(x&y)-(x|~y)+(x^~y)-(~(x^y))
-2*(~y),(~x&y)-(x&~y)-(~(x&y))-(~(x|y))
-(~y),2*(~x&y)+(x&~y)-(~(x&y))-(x^y)
-(~y),-(~x&y)-(x&~y)+(x|y)-(x|~y)
-(~y),-(~x&y)-2*(x&~y)+(x|y)-(~x^y)
-(~y),-(~x&y)-2*(x&~y)+(x|y)-(x^~y)
-(~y),-(~x&y)-2*(x&~y)+(x|y)-(~(x^y))
-2*(~y),(~x&y)-(x&~y)-2*(~(x|y))-(x^y)
-2*(~y),(~x&y)-2*(~(x&y))+(~x|y)-(~x^y)
-2*(~y),(~x&y)-2*(~(x&y))+(~x|y)-(x^~y)
-2*(~y),(~x&y)-2*(~(x&y))+(~x|y)-(~(x^y))
-2*(~y),2*(~x&y)-(~(x&y))-(~(x|y))-(x^y)
-(~y),(~x&y)-(~(x&y))+(~x^y)-(x^~y)
-(~y),(~x&y)-(~(x&y))+(~x^y)-(~(x^y))
-(~y),(~x&y)-(~(x&y))+(x^~y)-(~(x^y))
-(~y),-2*(~x&y)+(x|y)+(~x|y)-2*(x|~y)
-(~y),2*(~x&y)+(x|y)-(~x|y)-2*(x^y)
~y,(~x&y)-(x|y)+2*(x|~y)-(~x^y)
~y,(~x&y)-(x|y)+2*(x|~y)-(x^~y)
~y,(~x&y)-(x|y)+2*(x|~y)-(~(x^y))
~y,-(~x&y)+(x|y)+2*(~(x|y))-(~x^y)
~y,-(~x&y)+(x|y)+2*(~(x|y))-(x^~y)
~y,-(~x&y)+(x|y)+2*(~(x|y))-(~(x^y))
-(~y),(~x&y)+(x|y)-2*(x^y)-(~x^y)
-(~y),(~x&y)+(x|y)-2*(x^y)-(x^~y)
-(~y),(~x&y)+(x|y)-2*(x^y)-(~(x^y))
-(~y),-(~x&y)+(~x|y)-(x|~y)-(~(x|y))
-2*(~y),-(x&~y)-(~(x&y))+(x|y)-(x|~y)
-2*(~y),-2*(x&~y)-(~(x&y))+(x|y)-(~x^y)
-2*(~y),-2*(x&~y)-(~(x&y))+(x|y)-(x^~y)
-2*(~y),-2*(x&~y)-(~(x&y))+(x|y)-(~(x^y))
-(~y),(x&~y)-(~(x&y))+(~x|y)-(x|~y)
-(~y),-(x&~y)+(~(x&y))-2*(~(x|y))-(x^y)
-2*(~y),-3*(x&~y)+(x|y)-(~x|y)-(~(x|y))
-(~y),-(x&~y)+(x|y)-(x^y)-(~x^y)
-(~y),-(x&~y)+(x|y)-(x^y)-(x^~y)
-(~y),-(x&~y)+(x|y)-(x^y)-(~(x^y))
-(~y),-2*(x&~y)+(x|~y)-(~(x|y))-(~x^y)
-(~y),-2*(x&~y)+(x|~y)-(~(x|y))-(x^~y)
-(~y),-2*(x&~y)+(x|~y)-(~(x|y))-(~(x^y))
-(~y),-(x&~y)-(~(x|y))+(~x^y)-(x^~y)
-(~y),-(x&~y)-(~(x|y))+(~x^y)-(~(x^y))
-(~y),-(x&~y)-(~(x|y))+(x^~y)-(~(x^y))
-3*(~y),-2*(~(x&y))+(x|y)+(~x|y)-2*(x|~y)
~y,2*(~(x&y))+(x|y)-(~x|y)-2*(x^y)
~y,(~(x&y))-(x|y)+(x|~y)-(~(x|y))
2*(~y),(~(x&y))-(x|y)+2*(x|~y)-(~x^y)
2*(~y),(~(x&y))-(x|y)+2*(x|~y)-(x^~y)
2*(~y),(~(x&y))-(x|y)+2*(x|~y)-(~(x^y))
-2*(~y),-(~(x&y))+(~x|y)-(x|~y)-(~(x|y))
2*(~y),2*(~(x&y))-(~x|y)+(x|~y)-(x^y)
-2*(~y),-2*(~(x&y))+2*(~x|y)-(~x^y)-(x^~y)
-2*(~y),-2*(~(x&y))+2*(~x|y)-(~x^y)-(~(x^y))
-2*(~y),-2*(~(x&y))+2*(~x|y)-(x^~y)-(~(x^y))
~y,(~(x&y))+(x|~y)-(x^y)-(~x^y)
~y,(~(x&y))+(x|~y)-(x^y)-(x^~y)
~y,(~(x&y))+(x|~y)-(x^y)-(~(x^y))
~y,-(x|y)+(~x|y)+2*(x|~y)-2*(~x^y)
~y,-(x|y)+(~x|y)+2*(x|~y)-2*(x^~y)
~y,-(x|y)+(~x|y)+2*(x|~y)-2*(~(x^y))
-(~y),(x|y)+(~x|y)-2*(x^y)-2*(~x^y)
-(~y),(x|y)+(~x|y)-2*(x^y)-2*(x^~y)
-(~y),(x|y)+(~x|y)-2*(x^y)-2*(~(x^y))
-2*(~y),(~x|y)-(x|~y)-2*(~(x|y))-(x^y)
-(~y),(~x|y)-(~(x|y))-(x^y)-(~x^y)
-(~y),(~x|y)-(~(x|y))-(x^y)-(x^~y)
-(~y),(~x|y)-(~(x|y))-(x^y)-(~(x^y))
2*(~y),2*(x|~y)+2*(~(x|y))-(~x^y)-(x^~y)
2*(~y),2*(x|~y)+2*(~(x|y))-(~x^y)-(~(x^y))
2*(~y),2*(x|~y)+2*(~(x|y))-(x^~y)-(~(x^y))
-(x&y),-(~x&y)-(x&~y)+(~(x&y))-(~x^y)
-(x&y),-(~x&y)-(x&~y)+(~(x&y))-(x^~y)
-(x&y),-(~x&y)-(x&~y)+(~(x&y))-(~(x^y))
-(x&y),2*(~x&y)+2*(x&~y)-(x|y)-(x^y)
-2*(x&y),(~x&y)+(~(x&y))-(x|y)-(~x|y)
-(x&y),(~x&y)+(~(x&y))-(~x|y)-(x^y)
x&y,-2*(~x&y)+(x|y)+(~x|y)-(x|~y)
-(x&y),(~x&y)-(x|y)+(x|~y)-(~x^y)
-(x&y),(~x&y)-(x|y)+(x|~y)-(x^~y)
-(x&y),(~x&y)-(x|y)+(x|~y)-(~(x^y))
x&y,-2*(~x&y)+2*(~x|y)-(~(x|y))-(~x^y)
x&y,-2*(~x&y)+2*(~x|y)-(~(x|y))-(x^~y)
x&y,-2*(~x&y)+2*(~x|y)-(~(x|y))-(~(x^y))
x&y,(~x&y)+(x|~y)-(~(x|y))-(x^y)
-2*(x&y),(x&~y)+(~(x&y))-(x|y)-(x|~y)
-(x&y),(x&~y)+(~(x&y))-(x|~y)-(x^y)
-(x&y),2*(x&~y)-(x|y)+(~x|y)-(x|~y)
-(x&y),(x&~y)-(x|y)+(~x|y)-(~x^y)
-(x&y),(x&~y)-(x|y)+(~x|y)-(x^~y)
-(x&y),(x&~y)-(x|y)+(~x|y)-(~(x^y))
x&y,(x&~y)+(~x|y)-(~(x|y))-(x^y)
x&y,-2*(x&~y)+2*(x|~y)-(~(x|y))-(~x^y)
x&y,-2*(x&~y)+2*(x|~y)-(~(x|y))-(x^~y)
x&y,-2*(x&~y)+2*(x|~y)-(~(x|y))-(~(x^y))
-3*(x&y),2*(~(x&y))-(x|y)-(~x|y)-(x|~y)
-(x&y),2*(~(x&y))-(x|y)-2*(~(x|y))-(x^y)
-3*(x&y),2*(~(x&y))-2*(x|y)-(~(x|y))-(~x^y)
-3*(x&y),2*(~(x&y))-2*(x|y)-(~(x|y))-(x^~y)
-3*(x&y),2*(~(x&y))-2*(x|y)-(~(x|y))-(~(x^y))
x&y,(~(x&y))+2*(x|y)-3*(x^y)-(~x^y)
x&y,(~(x&y))+2*(x|y)-3*(x^y)-(x^~y)
x&y,(~(x&y))+2*(x|y)-3*(x^y)-(~(x^y))
-4*(x&y),2*(~(x&y))-2*(x|y)-(~x^y)-(x^~y)
-4*(x&y),2*(~(x&y))-2*(x|y)-(~x^y)-(~(x^y))
-4*(x&y),2*(~(x&y))-2*(x|y)-(x^~y)-(~(x^y))
2*(x&y),-(~(x&y))+(~x|y)+(x|~y)-(~(x|y))
-2*(x&y),2*(~(x&y))-(~x|y)-(x|~y)-(x^y)
x&y,-(~(x&y))+(~x|y)+(x|~y)-(~x^y)
x&y,-(~(x&y))+(~x|y)+(x|~y)-(x^~y)
x&y,-(~(x&y))+(~x|y)+(x|~y)-(~(x^y))
